id,AB
"1","200.000000"
"2","200.000000"
"3","200.000000"
"4","200.000000"
"5","200.000000"
"6","200.000000"
"7","200.000000"
"8","200.000000"
"9","200.000000"
"10","200.000000"
"11","200.000000"
"12","200.000000"
"13","200.000000"
"14","200.000000"
"15","200.000000"
"16","200.000000"
"17","200.000000"
"18","200.000000"
"19","200.000000"
"20","200.000000"
"21","200.000000"
"22","200.000000"
"23","200.000000"
"24","200.000000"
"25","200.000000"
"26","200.000000"
"27","200.000000"
"28","200.000000"
"29","200.000000"
"30","200.000000"
"31","200.000000"
"32","200.000000"
"33","200.000000"
"34","200.000000"
"35","200.000000"
"36","200.000000"
"37","200.000000"
"38","200.000000"
"39","200.000000"
"40","200.000000"
"41","200.000000"
"42","200.000000"
"43","200.000000"
"44","200.000000"
"45","200.000000"
"46","200.000000"
"47","200.000000"
"48","200.000000"
"49","200.000000"
"50","200.000000"
"51","200.000000"
"52","200.000000"
"53","200.000000"
"54","195.000000"
"55","195.000000"
"56","195.000000"
"57","195.000000"
"58","195.000000"
"59","195.000000"
"60","195.000000"
"61","195.000000"
"62","195.000000"
"63","195.000000"
"64","195.000000"
"65","195.000000"
"66","195.000000"
"67","195.000000"
"68","195.000000"
"69","195.000000"
"70","195.000000"
"71","195.000000"
"72","195.000000"
"73","195.000000"
"74","195.000000"
"75","195.000000"
"76","195.000000"
"77","195.000000"
"78","195.000000"
"79","195.000000"
"80","195.000000"
"81","195.000000"
"82","195.000000"
"83","195.000000"
"84","195.000000"
"85","195.000000"
"86","195.000000"
"87","195.000000"
"88","195.000000"
"89","195.000000"
"90","195.000000"
"91","195.000000"
"92","195.000000"
"93","195.000000"
"94","195.000000"
"95","195.000000"
"96","195.000000"
"97","195.000000"
"98","195.000000"
"99","195.000000"
"100","195.000000"
"101","195.000000"
"102","195.000000"
"103","195.000000"
"104","195.000000"
"105","195.000000"
"106","195.000000"
"107","195.000000"
"108","195.000000"
"109","195.000000"
"110","195.000000"
"111","195.000000"
"112","195.000000"
"113","195.000000"
"114","195.000000"
"115","195.000000"
"116","195.000000"
"117","195.000000"
"118","195.000000"
"119","195.000000"
"120","195.000000"
"121","195.000000"
"122","195.000000"
"123","195.000000"
"124","195.000000"
"125","195.000000"
"126","195.000000"
"127","195.000000"
"128","195.000000"
"129","195.000000"
"130","195.000000"
"131","195.000000"
"132","195.000000"
"133","195.000000"
"134","195.000000"
"135","195.000000"
"136","195.000000"
"137","195.000000"
"138","195.000000"
"139","195.000000"
"140","195.000000"
"141","195.000000"
"142","195.000000"
"143","195.000000"
"144","195.000000"
"145","195.000000"
"146","195.000000"
"147","195.000000"
"148","195.000000"
"149","195.000000"
"150","195.000000"
"151","195.000000"
"152","195.000000"
"153","195.000000"
"154","195.000000"
"155","195.000000"
"156","195.000000"
"157","195.000000"
"158","195.000000"
"159","195.000000"
"160","195.000000"
"161","195.000000"
"162","195.000000"
"163","195.000000"
"164","195.000000"
"165","195.000000"
"166","195.000000"
"167","195.000000"
"168","195.000000"
"169","195.000000"
"170","195.000000"
"171","195.000000"
"172","195.000000"
"173","195.000000"
"174","195.000000"
"175","195.000000"
"176","195.000000"
"177","195.000000"
"178","195.000000"
"179","195.000000"
"180","195.000000"
"181","195.000000"
"182","195.000000"
"183","195.000000"
"184","195.000000"
"185","195.000000"
"186","195.000000"
"187","195.000000"
"188","195.000000"
"189","195.000000"
"190","195.000000"
"191","195.000000"
"192","195.000000"
"193","190.000000"
"194","190.000000"
"195","190.000000"
"196","190.000000"
"197","190.000000"
"198","190.000000"
"199","190.000000"
"200","190.000000"
"201","190.000000"
"202","190.000000"
"203","190.000000"
"204","190.000000"
"205","190.000000"
"206","190.000000"
"207","190.000000"
"208","190.000000"
"209","190.000000"
"210","190.000000"
"211","190.000000"
"212","190.000000"
"213","190.000000"
"214","190.000000"
"215","190.000000"
"216","190.000000"
"217","190.000000"
"218","190.000000"
"219","190.000000"
"220","190.000000"
"221","190.000000"
"222","190.000000"
"223","190.000000"
"224","190.000000"
"225","190.000000"
"226","190.000000"
"227","190.000000"
"228","190.000000"
"229","190.000000"
"230","190.000000"
"231","190.000000"
"232","190.000000"
"233","190.000000"
"234","190.000000"
"235","190.000000"
"236","190.000000"
"237","190.000000"
"238","190.000000"
"239","190.000000"
"240","190.000000"
"241","190.000000"
"242","190.000000"
"243","190.000000"
"244","190.000000"
"245","190.000000"
"246","190.000000"
"247","190.000000"
"248","190.000000"
"249","190.000000"
"250","190.000000"
"251","190.000000"
"252","190.000000"
"253","190.000000"
"254","190.000000"
"255","190.000000"
"256","190.000000"
"257","190.000000"
"258","190.000000"
"259","190.000000"
"260","190.000000"
"261","190.000000"
"262","190.000000"
"263","190.000000"
"264","190.000000"
"265","190.000000"
"266","190.000000"
"267","190.000000"
"268","190.000000"
"269","190.000000"
"270","190.000000"
"271","190.000000"
"272","190.000000"
"273","190.000000"
"274","190.000000"
"275","190.000000"
"276","190.000000"
"277","190.000000"
"278","190.000000"
"279","190.000000"
"280","190.000000"
"281","190.000000"
"282","190.000000"
"283","190.000000"
"284","190.000000"
"285","190.000000"
"286","190.000000"
"287","190.000000"
"288","190.000000"
"289","190.000000"
"290","190.000000"
"291","190.000000"
"292","190.000000"
"293","190.000000"
"294","190.000000"
"295","190.000000"
"296","190.000000"
"297","190.000000"
"298","190.000000"
"299","190.000000"
"300","190.000000"
"301","190.000000"
"302","190.000000"
"303","190.000000"
"304","190.000000"
"305","190.000000"
"306","190.000000"
"307","190.000000"
"308","190.000000"
"309","190.000000"
"310","190.000000"
"311","190.000000"
"312","190.000000"
"313","190.000000"
"314","190.000000"
"315","190.000000"
"316","190.000000"
"317","190.000000"
"318","190.000000"
"319","190.000000"
"320","190.000000"
"321","190.000000"
"322","190.000000"
"323","190.000000"
"324","190.000000"
"325","190.000000"
"326","190.000000"
"327","190.000000"
"328","190.000000"
"329","190.000000"
"330","190.000000"
"331","190.000000"
"332","185.000000"
"333","185.000000"
"334","185.000000"
"335","185.000000"
"336","185.000000"
"337","185.000000"
"338","185.000000"
"339","185.000000"
"340","185.000000"
"341","185.000000"
"342","185.000000"
"343","185.000000"
"344","185.000000"
"345","185.000000"
"346","185.000000"
"347","185.000000"
"348","185.000000"
"349","185.000000"
"350","185.000000"
"351","185.000000"
"352","185.000000"
"353","185.000000"
"354","185.000000"
"355","185.000000"
"356","185.000000"
"357","185.000000"
"358","185.000000"
"359","185.000000"
"360","185.000000"
